jqcy,#genre#
河北五超频道,http://nas.jqcykj.com:88/hebei/?id=hbwuchao
河北经济生活,http://nas.jqcykj.com:88/hebei/?id=hbjjsh
河北三农频道,http://nas.jqcykj.com:88/hebei/?id=hbsn
河北都市,http://nas.jqcykj.com:88/hebei/?id=hbds
河北影视剧,http://nas.jqcykj.com:88/hebei/?id=hbysj
河北少儿科教,http://nas.jqcykj.com:88/hebei/?id=hbse
河北文旅·公共,http://nas.jqcykj.com:88/hebei/?id=hbwl
河北三佳购物,http://nas.jqcykj.com:88/hebei/?id=hb4k
衡水冀州综合,http://nas.jqcykj.com:88/gdy?id=hengshuijz
衡水武强综合,http://nas.jqcykj.com:88/gdy?id=hengshuwq
//山西
临汾侯马新闻综合,http://nas.jqcykj.com:88/gdy?id=linfenhm
临汾曲沃新闻综合,http://nas.jqcykj.com:88/gdy?id=linfenqw
吕梁一套,http://nas.jqcykj.com:88/gdy?id=lvliang1
吕梁二套,http://nas.jqcykj.com:88/gdy?id=lvliang2
吕梁交城电视,http://nas.jqcykj.com:88/gdy?id=lvliangjc
长治潞州融媒,http://nas.jqcykj.com:88/gdy?id=changzhilz
运城芮城综合,http://nas.jqcykj.com:88/gdy?id=yunchengrc
//辽宁
大连金普1新闻综合,http://nas.jqcykj.com:88/gdy?id=dalianjp1
大连金普2生活服务,http://nas.jqcykj.com:88/gdy?id=dalianjp2
//吉林
吉林卫视,http://nas.jqcykj.com:88/jl/?id=1531
吉林都市,http://nas.jqcykj.com:88/jl/?id=1532
吉林生活,http://nas.jqcykj.com:88/jl/?id=1534
吉林影视,http://nas.jqcykj.com:88/jl/?id=1535
吉林乡村,http://nas.jqcykj.com:88/jl/?id=1536
吉林综艺·文化,http://nas.jqcykj.com:88/jl/?id=1538
吉林长春综合,http://nas.jqcykj.com:88/jl/?id=812402
吉林新闻综合,http://nas.jqcykj.com:88/jl/?id=812373
吉林四平新闻综合,http://nas.jqcykj.com:88/jl/?id=812374
吉林辽源新闻综合,http://nas.jqcykj.com:88/jl/?id=812376
吉林通化新闻综合,http://nas.jqcykj.com:88/jl/?id=812379
吉林白山新闻综合,http://nas.jqcykj.com:88/jl/?id=812383
吉林白城新闻综合,http://nas.jqcykj.com:88/jl/?id=812380
吉林松原新闻综合,http://nas.jqcykj.com:88/jl/?id=812382
吉林延边卫视,http://nas.jqcykj.com:88/jl/?id=812244
//黑龙江
黑龙江影视,https://idclive.hljtv.com:4430/live/hljys_hd.m3u8
黑龙江文体,https://idclive.hljtv.com:4430/live/hljwy_hd.m3u8
黑龙江都市,https://idclive.hljtv.com:4430/live/dushi_hd.m3u8
黑龙江新闻,https://idclive.hljtv.com:4430/live/hljxw_hd.m3u8
黑龙江农业,https://idclive.hljtv.com:4430/live/hljgg_hd.m3u8
哈尔滨新闻,http://stream.hrbtv.net/xwzh/sd/live.m3u8
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8
林甸综合,https://masterpull.hljtv.com/live/23PN6NW9.m3u8
鸡西新闻,https://masterpull.hljtv.com/live/uqFwlQDH.m3u8
绥化综合,https://rmplive.hljtv.com/live/suihua.m3u8
肇源综合,https://rmplive.hljtv.com/live/zhaoyuan.m3u8
肇州综合,https://rmplive.hljtv.com/live/zhaozhou.m3u8
抚远电视台,https://rmplive.hljtv.com/live/fuyuan.m3u8
桦南综合,https://rmplive.hljtv.com/live/huanan.m3u8
同江电视台,https://rmplive.hljtv.com/live/tongjiang.m3u8
汤原综合,https://rmplive.hljtv.com/live/tangyuan.m3u8
安达综合,https://rmplive.hljtv.com/live/anda.m3u8
海伦综合,https://rmplive.hljtv.com/live/hailun.m3u8
兰西综合,https://rmplive.hljtv.com/live/lanxi.m3u8
安达综合,https://rmplive.hljtv.com/live/anda.m3u8
海伦综合,https://rmplive.hljtv.com/live/hailun.m3u8
兰西综合,https://rmplive.hljtv.com/live/lanxi.m3u8
齐齐哈尔新闻,https://rmplive.hljtv.com/live/qiqihaer.m3u8
伊春综合,https://rmplive.hljtv.com/live/yichun.m3u8
鹤岗新闻,https://rmplive.hljtv.com/live/hegang.m3u8
七台河新闻,https://rmplive.hljtv.com/live/qitaihe.m3u8
黑河新闻,https://rmplive.hljtv.com/live/heihe.m3u8
林甸综合,https://rmplive.hljtv.com/live/lindian.m3u8
明水综合,https://rmplive.hljtv.com/live/mingshui.m3u8
庆安综合,https://rmplive.hljtv.com/live/qingan.m3u8
青冈综合,https://rmplive.hljtv.com/live/qinggang.m3u8
绥棱综合,https://rmplive.hljtv.com/live/suileng.m3u8
望奎综合,https://rmplive.hljtv.com/live/wangkui.m3u8
肇东综合,https://rmplive.hljtv.com/live/zhaodong.m3u8
宾县综合频道,https://rmplive.hljtv.com/live/binxian.m3u8
巴彦电视台,https://rmplive.hljtv.com/live/bayan.m3u8
方正综合,https://rmplive.hljtv.com/live/fangzheng.m3u8
呼兰综合,https://rmplive.hljtv.com/live/hulan.m3u8
尚志新闻综合,https://rmplive.hljtv.com/live/shangzhi.m3u8
通河新闻,https://rmplive.hljtv.com/live/tonghe.m3u8
五常综合,https://rmplive.hljtv.com/live/wuchang.m3u8
依兰新闻综合,https://rmplive.hljtv.com/live/yilan.m3u8
延寿综合,https://rmplive.hljtv.com/live/yanshou.m3u8
北安综合,https://rmplive.hljtv.com/live/beian.m3u8
孙吴综合,https://rmplive.hljtv.com/live/sunwu.m3u8
五大连池综合,https://rmplive.hljtv.com/live/wudalianchi.m3u8
东宁综合,https://rmplive.hljtv.com/live/dongning.m3u8
海林综合,https://rmplive.hljtv.com/live/hailin.m3u8
林口综合,https://rmplive.hljtv.com/live/linkou.m3u8
穆棱综合,https://rmplive.hljtv.com/live/muleng.m3u8
宁安综合,https://rmplive.hljtv.com/live/ningan.m3u8
绥芬河综合,https://rmplive.hljtv.com/live/suifenhe.m3u8
铁力综合频道,https://rmplive.hljtv.com/live/tieli.m3u8
拜泉综合,https://rmplive.hljtv.com/live/baiquan.m3u8
